genotype,sleep_cond,thresh,reaction,individual_slep_lat,sleep_latency,fly,time,matched_file,date,time_of_day,time_simp,day_num,proportion,mp4_file_path,mp4_link
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
helicon_w1118,sleeping,100,0,422.211239099503,422.211239099503,3,2025-04-04 17:00:13.485940,/home/joeh/helicon_split_RDL/ellens_flies/helicon_w1118_sleeping/jw/helicon_sleepin_first_woo3.csv,2025-04-04,17:00:13.48594,5,d2,1 / 4 ,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
helicon_w1118,sleeping,100,0,1144.45668697357,1144.45668697357,4,2025-04-07 14:16:25.162472,helicon_w1118_monday_sleeping_sd_movement_thresholds.csv,2025-04-07,14:16:25.162472,2,d3,1 / 3 ,/home/joeh/helicon_split_RDL/ellens_flies/helicon_w1118_sleeping/jw/helicon_w1118_monday_sleeping_sd.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/helicon_w1118_sleeping/jw/helicon_w1118_monday_sleeping_sd.mp4"">helicon_w1118_monday_sleeping_sd.mp4</a>"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
rdl_w1118,sleeping,51,1,618.480397224426,618.480397224426,5,2025-04-08 13:08:50.266413,rdl_w1118_sd_sleeping_movement_thresholds.csv,2025-04-08,13:08:50.266413,1,d4,1 / 4 ,/home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/rdl_w1118_sd_sleeping.mp4,"<a href=""file:///home/joeh/helicon_split_RDL/ellens_flies/rdl_sleepin/jw/rdl_w1118_sd_sleeping.mp4"">rdl_w1118_sd_sleeping.mp4</a>"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
