genotype,volume_threshold,sleep_status,state_switch,Unnamed: 4,note,data_origin,Unnamed: 7,note.1,Unnamed: 9,Unnamed: 10,sound_time,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,sound_start_time
inc2,26.2,sleeping,1,,,/home/joeh/inc_vs_w1118/inc/sleeping/SD/inc3_movement_thresholds.csv,,,,,,,,,,6359.59944343567
inc2,73.3,sleeping,1,,,/home/joeh/inc_vs_w1118/inc/sleeping/SD/low_light_manually_annotate/inc2.mp4,,,,,,,,,,
inc2,100,awake_sd,0,,,/home/joeh/inc_vs_cs/data/inc/awake/sd/awake_sd_inc_1_movement_thresholds.csv,,,,,,,,,,53.0446071624756
inc2,21.56,awake_sd,1,,,/home/joeh/inc_vs_cs/data/inc/awake/sd/awake_sd_inc_1_movement_thresholds.csv,,,,,,,,,,53.0446071624756
inc2,6.22,awake_sd,1,,,/home/joeh/inc_vs_cs/data/inc/awake/sd/awake_sd_inc_1_movement_thresholds.csv,,,,,,,,,,53.0446071624756
inc2,6.67,awake_sd,1,,,/home/joeh/inc_vs_cs/data/inc/awake/sd/awake_sd_inc_1_movement_thresholds.csv,,,,,,,,,,53.0446071624756
inc2,100,awake_sd,0,,,/home/joeh/inc_vs_cs/data/inc/awake/sd/awake_sd_inc_1_movement_thresholds.csv,,,,,,,,,,53.0446071624756
inc2,100,awake_rested,0,,,/home/joeh/inc_vs_cs/data/inc/awake/rested/inc2_rested_movement_thresholds.csv,,,,,,,,,,13.0112361907959
inc2,50.45,awake_rested,1,,,/home/joeh/inc_vs_cs/data/inc/awake/rested/inc2_rested_movement_thresholds.csv,,,,,,,,,,13.0112361907959
inc2,100,awake_rested,0,,,/home/joeh/inc_vs_cs/data/inc/awake/rested/inc2_rested_movement_thresholds.csv,,,,,,,,,,13.0112361907959
inc2,4.45,awake_sd,1,,,/home/joeh/inc_vs_cs/data/inc/awake/sd/inc_sd2_movement_thresholds.csv,,,,,,,,,,13.0442838668823
inc2,69.11,awake_sd,1,,,/home/joeh/inc_vs_cs/data/inc/awake/sd/inc_sd2_movement_thresholds.csv,,,,,,,,,,13.0442838668823
inc2,15.78,awake_sd,1,,,/home/joeh/inc_vs_cs/data/inc/awake/sd/inc2_awake_sd_monday_movement_thresholds.csv,,,,,,,,,,15.3112990856171
inc2,22.22,awake_sd,1,,,/home/joeh/inc_vs_cs/data/inc/awake/sd/inc2_awake_sd_monday_movement_thresholds.csv,,,,,,,,,,15.3112990856171
inc2,6.44,awake_sd,1,,,/home/joeh/inc_vs_cs/data/inc/awake/sd/inc2_awake_sd_monday_movement_thresholds.csv,,,,,,,,,,15.3112990856171
inc2,85.33,awake_sd,1,,,/home/joeh/inc_vs_cs/data/inc/awake/sd/inc2_awake_sd_monday_movement_thresholds.csv,,,,,,,,,,15.3112990856171
inc2,20.22,awake_rested,1,,,/home/joeh/inc_vs_cs/data/inc/awake/rested/inc2_awake_rested_monday_movement_thresholds.csv,,,,,,,,,,13.0115659236908
inc2,13.11,awake_rested,1,,,/home/joeh/inc_vs_cs/data/inc/awake/rested/inc2_awake_rested_monday_movement_thresholds.csv,,,,,,,,,,13.0115659236908
inc2,13.56,awake_rested,1,,,/home/joeh/inc_vs_cs/data/inc/awake/rested/inc2_rested_awake_movement_thresholds.csv,,,,,,,,,,24.644270658493
inc2,25.11,awake_rested,1,,,/home/joeh/inc_vs_cs/data/inc/awake/rested/inc2_rested_awake_movement_thresholds.csv,,,,,,,,,,24.644270658493
inc2,30,awake_rested,1,,,/home/joeh/inc_vs_cs/data/inc/awake/rested/inc2_rested_awake_movement_thresholds.csv,,,,,,,,,,24.644270658493
inc2,2,awake_rested,1,,,/home/joeh/inc_vs_cs/data/inc/awake/rested/inc2_rested_tuesday_movement_thresholds.csv,,,,,,,,,,13.2108111381531
inc2,100,awake_rested,0,,,/home/joeh/inc_vs_cs/data/inc/awake/rested/inc2_rested_tuesday_movement_thresholds.csv,,,,,,,,,,13.2108111381531
inc2,22,awake_rested,1,,,/home/joeh/inc_vs_cs/data/inc/awake/rested/inc2_rested_tuesday_movement_thresholds.csv,,,,,,,,,,13.2108111381531
inc2,38.44,sleeping,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
w1118,37.78,awake_rested,1,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_rested_1_movement_thresholds.csv,,,,,,,,,,15.177928686142
w1118,100,awake_rested,0,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_rested_1_movement_thresholds.csv,,,,,,,,,,15.177928686142
w1118,100,awake_rested,0,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_rested_1_movement_thresholds.csv,,,,,,,,,,15.177928686142
w1118,42,awake_rested,1,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_rested_1_movement_thresholds.csv,,,,,,,,,,15.177928686142
w1118,2.44,awake_rested,1,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_rested_1_movement_thresholds.csv,,,,,,,,,,15.177928686142
w1118,100,awake_rested,0,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_rested_2_movement_thresholds.csv,,,,,,,,,,16.1444945335388
w1118,100,awake_rested,0,,,,,,,,,,,,,
w1118,29.33,awake_rested,1,,,,,,,,,,,,,
w1118,100,awake_rested,0,,,,,,,,,,,,,
w1118,100,awake_rested,0,,,,,,,,,,,,,
w1118,30.67,awake_rested,1,,,,,,,,,,,,,
w1118,31.33,awake_rested,1,,,,,,,,,,,,,
w1118,60.67,awake_rested,1,,,,,,,,,,,,,
w1118,100,awake_rested,0,,,,,,,,,,,,,
w1118,17.78,awake_rested,1,,,,,,,,,,,,,
w1118,100,awake_rested,0,,,,,,,,,,,,,
w1118,4.67,awake_rested,1,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_rested_evening_tuesday_movement_thresholds.csv,,,,,,,,,,67.9446563720703
w1118,76.89,awake_rested,1,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_rested_evening_tuesday_movement_thresholds.csv,,,,,,,,,,67.9446563720703
w1118,68.44,awake_rested,1,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_rested_evening_tuesday_movement_thresholds.csv,,,,,,,,,,67.9446563720703
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
w1118,100,sleeping,0,,,/home/joeh/inc_vs_w1118/w1118/sleeping/w1118_sleeping_movement_thresholds.csv,,,,,,,,,,303.045229434967
w1118,100,sleeping,0,,,/home/joeh/inc_vs_w1118/w1118/sleeping/w1118_sleeping_movement_thresholds.csv,,,,,,,,,,303.045229434967
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
w1118,100,sleeping,0,,,/home/joeh/inc_vs_w1118/w1118/sleeping/w1118_sleeping_wednesday_movement_thresholds.csv,,,,,,,,,,391.245445013046
w1118,100,sleeping,0,,,/home/joeh/inc_vs_w1118/w1118/sleeping/w1118_sleeping_wednesday_movement_thresholds.csv,,,,,,,,,,391.245445013046
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
w1118,100,awake_sd,0,,,/home/joeh/inc_vs_w1118/w1118/awake/sd/w1118_sd_awake_movement_thresholds.csv,,,,,,,,,,13.0107724666595
w1118,100,awake_sd,0,,,/home/joeh/inc_vs_w1118/w1118/awake/sd/w1118_sd_awake_movement_thresholds.csv,,,,,,,,,,13.0107724666595
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
w1118,18.89,awake_sd,1,,,/home/joeh/inc_vs_w1118/w1118/awake/sd/awake_sd_w1118_movement_thresholds.csv,,,,,,,,,,28.0110521316528
w1118,2.44,awake_sd,1,,,/home/joeh/inc_vs_w1118/w1118/awake/sd/awake_sd_w1118_movement_thresholds.csv,,,,,,,,,,28.0110521316528
w1118,43.56,awake_sd,1,,,/home/joeh/inc_vs_w1118/w1118/awake/sd/awake_sd_w1118_movement_thresholds.csv,,,,,,,,,,28.0110521316528
w1118,100,awake_sd,0,,,/home/joeh/inc_vs_w1118/w1118/awake/sd/awake_sd_w1118_movement_thresholds.csv,,,,,,,,,,28.0110521316528
w1118,22,awake_sd,1,,,/home/joeh/inc_vs_w1118/w1118/awake/sd/awake_sd_w1118_movement_thresholds.csv,,,,,,,,,,28.0110521316528
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
inc2,18.22,sleeping,1,,,/home/joeh/inc_vs_w1118/inc/sleeping/SD/inc_sleeping_sweet_jesus_hear_my_prayers_movement_thresholds.csv,,,,,,,,,,7430.37653446198
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
w1118,55.11,awake_rested,1,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_awake_rested_movement_thresholds.csv,,,,,,,,,,13.0104758739471
w1118,49.11,awake_rested,1,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_awake_rested_movement_thresholds.csv,,,,,,,,,,13.0104758739471
w1118,89.11,awake_rested,1,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_awake_rested_movement_thresholds.csv,,,,,,,,,,13.0104758739471
w1118,100,awake_rested,0,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_awake_rested_movement_thresholds.csv,,,,,,,,,,13.0104758739471
w1118,32.89,awake_rested,1,,,/home/joeh/inc_vs_w1118/w1118/awake/rested/w1118_awake_rested_movement_thresholds.csv,,,,,,,,,,13.0104758739471
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
