filename,pre_onset_1_average,pre_onset_top_speed,post_onset_1_average,post_onset_top_speed,top_speed_difference,difference,ZT,creation_time,abs_difference,cond
long_male_noise70_05 (1).csv,133.761951219512,488.36,286.109743589744,905.03,416.67,152.347792370231,-540,01.01.1980 00:00:00,152.347792370231,noise
long_male__noise70_19.csv,180.580487804878,637.26,175.458717948718,587.25,-50.01,-5.12176985616011,-540,01.01.1980 00:00:00,5.12176985616011,noise
long_male__noise70_20.csv,0,0,0,0,0,0,-540,01.01.1980 00:00:00,0,noise
long_male__noise70_13.csv,72.7948717948718,555.75,8.80925,209.83,-345.92,-63.9856217948718,-540,01.01.1980 00:00:00,63.9856217948718,noise
long_male__noise70_23.csv,104.54525,724.12,22.441,402.93,-321.19,-82.10425,-540,01.01.1980 00:00:00,82.10425,noise
long_male__noise70_22.csv,55.554,300.72,21.37625,229.08,-71.64,-34.17775,-540,01.01.1980 00:00:00,34.17775,noise
long_male_noise70_01 (1).csv,84.39775,265.31,30.1090243902439,176.07,-89.24,-54.2887256097561,-540,01.01.1980 00:00:00,54.2887256097561,noise
long_male_noise70_09 (1).csv,106.166470588235,479.61,55.0102857142857,230.6,-249.01,-51.1561848739496,-540,01.01.1980 00:00:00,51.1561848739496,noise
long_male_noise70_11 (1).csv,313.35825,1232.07,208.42282051282,723.17,-508.9,-104.93542948718,-540,01.01.1980 00:00:00,104.93542948718,noise
long_male__noise70_18.csv,157.4075,372.56,18.1192307692308,57.99,-314.57,-139.288269230769,-540,01.01.1980 00:00:00,139.288269230769,noise
long_male__noise70_21.csv,157.739268292683,411.49,83.7094736842105,351.87,-59.62,-74.0297946084724,-540,01.01.1980 00:00:00,74.0297946084724,noise
long_male__noise70_15.csv,133.903902439024,524.93,55.6453846153846,175.74,-349.19,-78.2585178236397,-540,01.01.1980 00:00:00,78.2585178236397,noise
