Object,genotype,sleep_latency,volume_percent_threshold,reaction,file,day,Unnamed: 7,CreationDate,ZT,Humidity,Fly_ID,cond,volume_percent_2sd_200ms,volume_percent_2sd_500ms,volume_percent_2sd_1s,censored
Object 1,shaker,1485.94,,0,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/shaker_maybe_sleeping_lets_try_ay_movement_thresholds.csv,3,,28/01/2026,7,19,1,sleeping,,,,
Object 1,shaker,2040,,0,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/2_shakers_movement_thresholds.csv,4,,11/02/2026,8,19,2,sleeping,,,,
Object 8,shaker,2142,39.11,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/2_shakers_movement_thresholds.csv,4,,11/02/2026,8,19,3,sleeping,39.11,39.11,39.11,
Object 1,w1118,521.56,66.89,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/sleeping_w1118_wednesday_always_3_movement_thresholds.csv,4,,11/02/2026,6,19,4,sleeping,66.89,66.89,66.89,
Object 9,w1118,745.39,,0,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/sleeping_w1118_wednesday_always_3_movement_thresholds.csv,4,,11/02/2026,6,19,5,sleeping,,,,
Object 1,shaker,345.13,62.67,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/2_shakers_again_movement_thresholds.csv,4,,11/02/2026,9,19,6,sleeping,62.67,62.67,62.67,
Object 5,shaker,1519.66,29.56,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/2_shakers_again_movement_thresholds.csv,4,,11/02/2026,9,19,7,sleeping,29.56,29.56,29.56,
Object 1,w1118,1103.7,18,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/2_more_sleeping_w1118_wednesday_movement_thresholds.csv,4,,11/02/2026,9,19,8,sleeping,18,18,18,
Object 9,w1118,1502.8,22,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/2_more_sleeping_w1118_wednesday_movement_thresholds.csv,4,,11/02/2026,9,19,9,sleeping,22,22,22,
Object 6,w1118,872.16,72,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/2_more_sleeping_w1118s_thursday_movement_thresholds.csv,5,,12/02/2026,5,19,10,sleeping,72,72,72,
Object 9,w1118,851.1,,0,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/2_more_sleeping_w1118s_thursday_movement_thresholds.csv,5,,12/02/2026,5,19,11,sleeping,,,,
Object 1,w1118,1441,79.11,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/2_MORE_MOREmore_sleeping_w1118s_thursday_movement_thresholds.csv,5,,12/02/2026,5,19,12,sleeping,79.11,79.11,79.11,
Object 8,w1118,300.86,45.55,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/2_MORE_MOREmore_sleeping_w1118s_thursday_movement_thresholds.csv,5,,12/02/2026,5,19,13,sleeping,45.55,45.55,45.55,
Object 3,w1118,765.27,,0,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/2_MORE_MOREmore_sleeping_w1118s_thursday_velocity_averages.csv,5,,12/02/2026,7,19,14,sleeping,,,,
Object 6,w1118,612.93,39.56,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/w1118/2_MORE_MOREmore_sleeping_w1118s_thursday_velocity_averages.csv,5,,12/02/2026,7,19,15,sleeping,39.56,39.56,39.56,
Object 2,shaker,2382.98,42.44,1,/home/joeh/mutantscreen_round_two/shaker/sleeping/shaker/shakers_thursday_movement_thresholds.csv,5,,12/02/2026,7,19,16,sleeping,42.44,42.44,42.44,
