Fly,SleepState,SoundType,ReactionThreshold,notes:
ac1,Awake,Courtship,2,
ac2,Awake,Courtship,2,
ac3,Awake,Courtship,2,
ac4,Awake,Courtship,5,
ac5,Awake,Courtship,5,
ac6,Awake,Courtship,5,
ac7,Awake,Courtship,10,
ac8,Awake,Courtship,10,
ac9,Awake,Courtship,30,
ac10,Awake,Courtship,30,
ac11,Awake,Courtship,na,
sc1,Sleeping,Courtship,30,
sc2,Sleeping,Courtship,na,
sc3,Sleeping,Courtship,na,
sc4,Sleeping,Courtship,na,
sc5,Sleeping,Courtship,30,
sc6,Sleeping,Courtship,na,
sc7,Sleeping,Courtship,10,
sc8,Sleeping,Courtship,na,
sc9,Sleeping,Courtship,na,
sc10,Sleeping,Courtship,2,
sc11,Sleeping,Courtship,2,
sc12,Sleeping,Courtship,5,
sc13,Sleeping,Courtship,100,"Takes one step forward, not picked up by script. Manually noted. Filename: /home/joeh/Volume_threshold/still_awake_CS_vs_sleeping_CS/sleeping_mating/CS_NS_courtship_male_11_raw_manually_noted.mp4"
sn1,Sleeping,Noise,na,
sn2,Sleeping,Noise,na,
sn3,Sleeping,Noise,na,
sn4,Sleeping,Noise,na,
sn5,Sleeping,Noise,na,
sn6,Sleeping,Noise,na,
sn7,Sleeping,Noise,na,
sn8,Sleeping,Noise,30,
sn9,Sleeping,Noise,na,
sn10,Sleeping,Noise,na,
an1,Awake,Noise,na,
an2,Awake,Noise,2,
an3,Awake,Noise,na,
an5,Awake,Noise,10,
an6,Awake,Noise,5,
an7,Awake,Noise,5,
an8,Awake,Noise,10,
an9,Awake,Noise,5,
an10,Awake,Noise,5,
